"HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Lab","Overall","Grade"
67.5,80,77.5,47.5,100,80,76,77.5,80,12,83.3333333333333,77.7777777777778,75,80,44,64.35,55,71.5,79.8125,80.3704,100,74.87431,"C"
73.5,70,92.5,80,100,97,90,100,96,12,66.6666666666667,61.1111111111111,75,85,65.6,73.8,82,82,91.125,75.5556,100,85.57084,"B"
75,90,95,70,85,85,0,62.5,100,12,83.3333333333333,88.8888888888889,40,80,59.2,68.4,74,76,82.8125,84.0741,100,81.254865,"B-"
70,97.5,100,70,100,100,97,95,85,12,91.6666666666667,50,80,70,61.2,64.8,76.5,72,93.0625,80.5556,100,83.30209,"B"
82.5,100,100,100,97,100,100,90,75,12,91.6666666666667,72.2222222222222,65,80,62.4,57.15,78,63.5,96.1875,81.2963,100,82.525695,"B"
91.5,97.5,98,90,92,95,62,95,90,12,66.6666666666667,44.4444444444444,90,90,64,65.25,80,72.5,93.625,82.2222,100,84.54583,"B"
100,72.5,100,100,100,99,97,100,100,12,66.6666666666667,100,85,50,66.4,67.5,83,75,99.5,83.8889,100,87.783335,"B+"
95,100,100,100,100,89,98,85,100,12,91.6666666666667,66.6666666666667,60,80,52.8,63.9,66,71,97.75,79.4444,100,82.19166,"B"
62.5,0,0,0,65,76,71,90,97.5,9,0,44.4444444444444,55,100,68,34.2,85,38,57.75,66.4815,60,59.797225,"D"
52.5,55,85,67.5,90,78,92,80,80,12,50,72.2222222222222,0,85,52,54.45,65,60.5,78.4375,69.0741,100,72.017365,"C"
92.5,97.5,0,85,90,76,81,90,80,12,91.6666666666667,50,60,75,69.6,78.3,87,87,86.5,75.5556,100,86.43334,"B+"
100,100,92.5,90,100,99,90,95,100,12,100,100,85,90,70.4,80.1,88,89,97.0625,96.6667,100,93.468755,"A"
82,100,87.5,90,100,96,100,80,95,11,75,72.2222222222222,55,75,55.2,57.6,69,64,93.8125,74.0741,100,79.054865,"C+"
72.5,95,100,80,100,76,100,90,70,12,91.6666666666667,100,100,100,68.8,81,86,90,89.1875,100,100,91.45625,"A"
82.5,85,95,90,100,95,87,85,85,12,91.6666666666667,88.8888888888889,70,100,59.2,71.1,74,79,90.25,93.5185,100,85.652775,"B"
89.5,100,100,70,100,0,97,100,98,10,75,72.2222222222222,70,75,56,56.7,70,63,94.3125,74.0741,80,77.154865,"C"
95,75,100,100,100,99,85,85,100,12,50,55.5555555555556,50,95,60.8,51.3,76,57,95.5,66.8519,100,78.127785,"C+"
92.5,100,100,100,100,100,100,100,100,12,66.6666666666667,61.1111111111111,80,90,66.4,66.6,83,74,100,78.8889,100,86.933335,"B+"
92.5,0,92.5,95,100,95,0,0,80,9,83.3333333333333,0,35,60,55.2,41.4,69,46,69.375,59.4444,60,61.02916,"C-"
67,0,47.5,90,100,59,59,80,98,12,91.6666666666667,88.8888888888889,85,90,63.2,70.65,79,78.5,75.0625,90.1852,100,81.47153,"B-"
90,90,90,90,0,0,0,0,0,6,50,0,35,0,66.24,12.6,82.8,14,45,28.3333,0,37.809995,"F"
90,80,80,60,71.25,95,95,100,90,12,66.6666666666667,77.7777777777778,65,75,63.2,61.65,79,68.5,87.6562,73.1481,100,80.194075,"B-"
0,0,82.5,75,90,0,87,0,80,10,75,0,50,90,30.4,27,38,30,51.8125,71.6667,80,49.393755,"F"
77.5,100,92.5,65,90,78,97,95,80,12,70.8333333333333,55.5555555555556,85,90,40.8,65.7,51,73,88.75,81.9444,100,77.36666,"C"
90,77.5,100,90,100,83,100,100,100,12,50,50,80,35,54.4,58.05,68,64.5,95.375,60,100,77.3375,"C"
85,100,100,95,100,96,88,90,85,12,91.6666666666667,100,70,85,68,73.35,85,81.5,94.25,92.2222,100,89.48333,"A-"
100,100,100,90,94,98,97,85,91,12,83.3333333333333,77.7777777777778,55,80,70.4,65.7,88,73,96.25,80.3704,100,86.78056,"B+"
75,85,92.5,55,51,68,76,80,80,12,66.6666666666667,50,50,85,68.8,63,86,70,76.4375,67.2222,100,77.71458,"C+"
88.5,0,0,100,85,99,90,85,79,12,91.6666666666667,88.8888888888889,65,95,68.8,69.3,86,77,78.3125,91.8519,100,83.721535,"B"
77.5,100,92.5,90,95,97,100,90,0,11,100,66.6666666666667,85,95,61.6,81.9,77,91,92.75,93.3333,100,89.974995,"A-"
72.5,100,100,95,100,83,88,60,85,12,91.6666666666667,72.2222222222222,75,90,71.2,74.7,89,83,90.4375,85.5556,100,88.51459,"A-"
55,92.5,92.5,97.5,75,77,100,85,85,12,41.6666666666667,77.7777777777778,52.5,95,60.8,70.65,76,78.5,88.0625,75.0926,100,82.50764,"B"
90,90,90,90,90,93,67,0,0,11,75,100,0,0,69.6,61.2,87,68,76.25,58.3333,100,76.024995,"C"
67.5,67.5,95,77.5,100,87.5,70,90,85,7,33.3333333333333,0,25,45,68.8,62.1,86,69,84.0625,34.4444,20,66.83541,"C-"
73.5,80,100,100,90,89,94,90,0,12,66.6666666666667,77.7777777777778,75,85,63.2,60.75,79,67.5,89.5625,79.2593,100,81.432645,"B-"
92.5,100,100,30,100,100,100,85,75,12,91.6666666666667,27.7777777777778,0,100,63.6,44.1,79.5,49,94.0625,73.1481,100,77.340965,"C"
65,50,72.5,90,80,0,0,62.5,0,8,83.3333333333333,72.2222222222222,50,0,65.6,63.45,82,70.5,52.5,68.5185,40,64.052775,"C-"
92.5,100,100,90,100,99,99,87.5,100,12,58.3333333333333,88.8888888888889,80,55,48.8,53.1,61,59,97.5625,75.7407,100,77.579855,"C+"
88.5,92.5,95,60,85,0,0,100,0,11,58.3333333333333,0,40,35,56.8,49.95,71,55.5,65.125,44.4444,100,64.27916,"C-"
72.5,100,77.5,45,89,90,90,75,65,12,54.1666666666667,55.5555555555556,75,65,57.6,54,72,60,82.375,65.1852,100,73.89028,"C"
87.5,100,82.5,90,100,90,100,80,85,12,58.3333333333333,72.2222222222222,30,55,61.6,24.3,77,27,91.875,61.8519,100,68.990285,"C-"
77.5,77.5,95,100,99,92,80,87.5,85,11,33.3333333333333,44.4444444444444,65,60,61.6,44.1,77,49,89.5,56.4815,100,72.972225,"C"
73.5,72.5,60,0,80,0,0,60,0,11,66.6666666666667,55.5555555555556,40,0,68,49.5,85,55,43.25,54.0741,100,61.836115,"C-"
100,85,92.5,100,90,99,0,100,100,12,66.6666666666667,100,100,85,61.2,80.1,76.5,89,95.8125,95,100,90.54375,"A"
94,100,100,100,100,98,100,100,100,12,100,83.3333333333333,70,85,71.2,77.85,89,86.5,99.75,89.4444,100,92.76666,"A"
97.5,100,97.5,100,100,86,100,90,100,12,91.6666666666667,100,65,90,62.4,80.1,78,89,98.125,93.8889,100,91.370835,"A"
94.5,97,96,100,80,100,97,100,100,12,75,83.3333333333333,50,100,64,68.85,80,76.5,98.0625,86.1111,100,87.460415,"B+"
92.5,100,100,98,100,98,86,100,98,12,100,83.3333333333333,50,80,66.4,72,83,80,98.3125,87.7778,100,89.26042,"A-"
100,100,100,65,95,94,100,95,100,12,100,55.5555555555556,80,90,70.4,80.1,88,89,98,90,100,92.75,"A"
100,85,100,100,100,99,97,80,95,12,100,100,95,100,80,84.6,100,94,97,100,100,97.6,"A+"
92.5,100,97.5,80,95,100,90,100,70,12,100,100,85,100,79.2,88.2,99,98,94.375,100,100,97.6125,"A+"
95,85,100,70,0,99,95,95,100,12,91.6666666666667,72.2222222222222,50,90,77.6,86.4,97,96,92.375,84.6296,100,93.80694,"A"
92.5,100,95,100,100,90,100,85,97.5,12,25,33.3333333333333,20,65,31.2,20.7,39,23,96.875,41.1111,100,58.779165,"D"
92.5,100,97.5,100,100,99,92,100,85,12,91.6666666666667,88.8888888888889,95,95,63.2,68.85,79,76.5,97.625,93.8889,100,88.295835,"A-"
87.5,87.5,100,60,95,72,70,80,0,12,83.3333333333333,61.1111111111111,60,0,62.4,62.1,78,69,81.5,68.1481,100,77.522215,"C+"
80,0,77.5,20,0,37,67,50,85,10,33.3333333333333,16.6666666666667,30,40,50.4,58.5,63,65,52.0625,34.4444,80,57.63541,"D"
82.5,95,90,77.5,100,95,84,85,100,12,83.3333333333333,88.8888888888889,80,75,46.4,61.2,58,68,91.4375,84.0741,100,78.642365,"C+"
82.5,97.5,75,50,42.5,86,61,85,100,12,58.3333333333333,61.1111111111111,35,80,55.2,49.95,69,55.5,79.625,66.4815,100,71.534725,"C"
96,99,91.5,70,93,86,65,75,90,12,66.6666666666667,38.8888888888889,30,70,41.6,35.1,52,39,87.5625,58.5185,100,65.196525,"C-"
75,85,100,100,100,99,90,90,80,11,91.6666666666667,83.3333333333333,95,95,70.4,82.8,88,92,93,93.8889,100,92.583335,"A"
92.5,100,100,90,100,99,100,95,100,12,91.6666666666667,77.7777777777778,75,65,66.4,70.2,83,78,98.3125,81.4815,100,87.815975,"B+"
94.5,84,95,95,100,98,86,100,0,12,66.6666666666667,72.2222222222222,80,70,40.8,58.95,51,65.5,94.0625,74.0741,100,75.904865,"C"
72.5,77.5,0,75,85,0,0,0,65,10,0,27.7777777777778,35,35,19.2,18.45,24,20.5,46.875,32.5926,80,36.87639,"F"
100,79,85,95,85,91,79,75,92,12,91.6666666666667,44.4444444444444,90,90,64,63.9,80,71,88.25,90.5556,100,83.80834,"B"
92.5,100,100,90,98,99,97,100,95,12,66.6666666666667,66.6666666666667,55,75,25.6,54.9,32,61,97.6875,69.4444,100,71.37291,"C"
100,100,90,100,100,94,100,100,0,11,100,77.7777777777778,75,0,72,72.9,90,81,98,84.2593,100,90.288895,"A"
93,73,100,88,100,96,80,95,95,10,100,50,65,60,76,65.25,95,72.5,93.375,75,80,84.3875,"B"
100,85,97.5,100,95,0,89,90,90,11,79.1666666666667,94.4444444444444,50,85,49.6,66.6,62,74,93.3125,86.2037,100,81.824305,"B-"
92.5,100,100,70,100,100,100,100,85,12,75,88.8888888888889,95,0,67.2,72.45,84,80.5,97.1875,86.2963,100,89.025695,"A-"
92.5,92.5,90,90,100,90,100,90,85,12,83.3333333333333,72.2222222222222,85,100,63.2,86.4,79,96,93.125,89.4444,100,91.15416,"A"
68,55.5,85,0,65,50,52,0,20,10,50,50,30,35,43.2,28.8,54,32,49.4375,45,80,48.38125,"F"
92.5,92.5,100,90,100,100,100,0,80,12,95.8333333333333,100,0,100,70.4,78.3,88,87,94.375,98.6111,100,92.454165,"A"
57.5,100,100,0,80,93,76,75,95,12,75,72.2222222222222,70,90,79.2,66.6,99,74,84.5625,79.0741,100,85.529865,"B"
89.5,57,95,90,0,98,0,75,100,9,75,77.7777777777778,45,55,37.6,71.1,47,79,75.5625,69.2593,60,68.207645,"C-"
89.5,79,97.5,100,90,99,100,100,99,12,100,88.8888888888889,75,90,68.8,85.95,86,95.5,96.875,92.963,100,94.08195,"A"
75,100,92.5,100,100,99,100,90,100,12,83.3333333333333,88.8888888888889,95,100,77.6,77.4,97,86,97.6875,94.6296,100,94.40069,"A"
87.5,92.5,90,80,90,80,89,90,55,12,75,77.7777777777778,80,100,52,71.1,65,79,87.375,85.9259,100,81.851385,"B-"
57.5,70,82.5,0,55,0,51,45,0,11,83.3333333333333,38.8888888888889,57.5,0,40,55.8,50,62,45.125,59.9074,100,58.02361,"D"
52.5,77.5,97.5,50,95,80,79,90,50,12,66.6666666666667,38.8888888888889,65,90,46.4,52.65,58,58.5,77.6875,73.8889,100,70.614585,"C"
82.5,0,92.5,80,93,98,85,100,85,12,83.3333333333333,77.7777777777778,55,90,68.8,75.15,86,83.5,89.5,83.7037,100,87.480555,"B+"
62.5,70,87.5,60,100,80,84,95,80,12,41.6666666666667,88.8888888888889,65,75,42.4,63.9,53,71,82.375,76.2963,100,74.506945,"C"
65,55,87.5,90,90,72,77,0,80,12,83.3333333333333,72.2222222222222,57.5,80,68,75.6,85,84,77.0625,78.5185,100,82.896525,"B"
85,90,90,20,95,85,97,75,80,12,58.3333333333333,27.7777777777778,50,30,59.52,57.6,74.4,64,87.125,46.1111,100,73.934165,"C"
100,100,100,100,100,75,100,95,65,12,95.8333333333333,72.2222222222222,45,85,50.4,68.4,63,76,96.25,84.3519,100,83.127785,"B"
87.5,100,92.5,100,100,100,90,100,100,12,83.3333333333333,88.8888888888889,75,85,69.6,81,87,90,97.8125,85.7407,100,92.104855,"A"
92.5,70,85,80,100,97,79,100,85,12,83.3333333333333,100,95,100,76.8,68.4,96,76,89.8125,98.3333,100,89.893745,"A-"
62.5,80,75,100,95,95,100,85,100,12,75,100,80,75,56.8,53.55,71,59.5,91.25,85,100,79.2,"C+"
87,100,100,100,99,99,100,100,96,11,50,66.6666666666667,70,90,64,78.75,80,87.5,99.25,75.5556,100,88.98334,"A-"
60,75,100,0,100,94,100,90,100,10,50,33.3333333333333,25,40,69.6,44.55,87,49.5,89.875,41.1111,80,70.904165,"C"
79,96.5,92.5,100,100,98,87,100,82,12,100,77.7777777777778,75,100,66.4,70.65,83,78.5,94.5,92.5926,100,88.46389,"A-"
87.5,97.5,95,90,90,88,100,60,100,12,66.6666666666667,83.3333333333333,67.5,0,68.8,70.2,86,78,93.5,72.5,100,85.625,"B"
60,82.5,92.5,80,0,73,85.5,100,85,11,75,50,57.5,65,76.8,74.7,96,83,82.3125,65.8333,100,84.518745,"B"
90,100,100,100,95,99,100,95,100,12,100,100,80,90,64.8,72.9,81,81,98.625,96.6667,100,90.537505,"A"
92.5,100,100,100,100,99,100,100,95,12,83.3333333333333,66.6666666666667,70,95,71.2,76.5,89,85,99.25,82.7778,100,91.24167,"A"
87.5,100,65,70,0,76,80,100,98,9,50,33.3333333333333,55,95,53.6,70.2,67,78,84.5625,66.6667,60,74.268755,"C"
0,85,100,100,100,99,100,97.5,100,12,66.6666666666667,77.7777777777778,70,75,60,81,75,90,97.6875,74.2593,100,87.945145,"B+"
70,70,55,65,72.5,58,47,60,80,12,91.6666666666667,55.5555555555556,75,100,65.6,58.05,82,64.5,66.3125,88.8889,100,75.752085,"C"
82.5,77.5,100,90,95,93,84,100,85,12,100,77.7777777777778,85,45,59.2,70.2,74,78,91.1875,87.5926,100,84.79514,"B"
100,85,100,100,100,87,97,90,100,12,66.6666666666667,100,85,90,64,66.15,80,73.5,96.75,91.6667,100,87.150005,"B+"
82.5,100,92.5,80,100,99,100,80,100,12,100,100,90,100,71.2,89.1,89,99,94.25,100,100,95.825,"A+"
0,80,100,95,78,90,77,75,97,11,83.3333333333333,66.6666666666667,55,85,58.4,59.85,73,66.5,86.5,78.3333,100,78.924995,"C+"
77.5,0,92.5,90,85,66,48,70,85,12,50,50,25,30,28,40.05,35,44.5,76.75,43.3333,100,57.649995,"D"
92.5,72.5,72.5,30,0,83,100,0,85,12,58.3333333333333,44.4444444444444,35,15,20.8,18.45,26,20.5,66.9375,45.9259,100,47.295135,"F"
92.5,100,100,100,100,99,97,100,85,12,91.6666666666667,100,95,100,71.2,79.65,89,88.5,98.5625,98.3333,100,94.243745,"A"
73.5,85,95,90,99,88,97,90,100,12,50,77.7777777777778,45,70,75.2,64.8,94,72,93,65.9259,100,84.588885,"B"
92.5,100,100,100,100,100,92,0,95,12,91.6666666666667,94.4444444444444,75,100,78.4,80.1,98,89,97.4375,95.3704,100,95.38681,"A+"
92.5,92.5,97.5,80,97,100,89,90,60,11,87.5,66.6666666666667,30,70,51.2,44.1,64,49,92.3125,74.7222,100,73.95208,"C"
52.5,47.5,97.5,75,65,81,79,90,65,10,75,44.4444444444444,40,75,39.2,60.3,49,67,75.625,64.8148,80,66.95972,"C-"
77.5,92.5,77.5,90,93,90,90,55,65,11,66.6666666666667,44.4444444444444,30,50,64,49.05,80,54.5,84.4375,53.7037,100,73.011805,"C"
72.5,65,90,70,75,84,65,80,85,11,83.3333333333333,61.1111111111111,80,95,64,71.1,80,79,77.6875,86.1111,100,81.972915,"B-"
78.5,0,72.5,90,95,87,97,100,100,11,50,77.7777777777778,85,65,56,60.75,70,67.5,90,75.9259,100,79.263885,"C+"
80,100,95,70,87.5,90,96,100,85,12,91.6666666666667,61.1111111111111,55,95,61.6,80.55,77,89.5,91.6875,82.5926,100,87.67014,"B+"
62.5,0,77.5,90,100,98,100,90,100,12,100,94.4444444444444,35,90,76,74.25,95,82.5,89.75,94.8148,100,90.77222,"A"
94,100,100,90,100,99,100,95,95,12,91.6666666666667,77.7777777777778,80,90,56.8,65.25,71,72.5,97.875,87.2222,100,84.77083,"B"
66,85,90,90,100,0,65,95,100,12,83.3333333333333,22.2222222222222,75,65,42.4,36.9,53,41,86.375,74.4444,100,67.92916,"C-"
77.5,85,85,60,100,100,86,100,80,12,75,83.3333333333333,75,65,44,60.3,55,67,89.1875,77.7778,100,76.17292,"C"
87.5,77.5,100,95,95,100,0,75,75,12,95.8333333333333,88.8888888888889,75,100,67.2,72.9,84,81,88.125,94.9074,100,87.72361,"B+"
99.5,100,100,90,72.5,100,97,100,98,12,91.6666666666667,100,75,90,56,70.2,70,78,98.0625,93.8889,100,87.002085,"B+"
82.5,100,95,80,95,96,100,80,85,12,100,77.7777777777778,85,90,72,76.5,90,85,91.6875,91.6667,100,90.506255,"A"
85,95,85,100,100,98,88,90,85,12,100,50,65,95,64.8,67.5,81,75,92.625,86.6667,100,85.737505,"B"
52.5,92.5,97.5,0,91.25,0,0,0,0,10,58.3333333333333,0,0,0,43.2,20.7,54,23,41.7188,19.4444,80,39.9823,"F"
87.5,77.5,100,60,100,89,83,80,80,12,83.3333333333333,77.7777777777778,65,80,59.2,71.55,74,79.5,87.125,80.3704,100,82.86806,"B"
92.5,100,95,100,100,99,100,85,98,12,100,88.8888888888889,75,95,80,84.15,100,93.5,98.0625,94.6296,100,96.98819,"A+"
47.5,72.5,92.5,95,100,88.5,80,82.5,100,12,75,61.1111111111111,45,100,47.2,62.1,59,69,88.875,78.7037,100,77.518055,"C+"
98,94,77.5,90,95,97,100,90,99,12,91.6666666666667,72.2222222222222,55,75,60.8,48.6,76,54,95.375,79.6296,100,79.25694,"C+"
80.5,85,100,90,95,96,86,60,100,12,66.6666666666667,77.7777777777778,75,95,76.8,66.15,96,73.5,91.5625,82.5926,100,87.43264,"B+"
60,0,90,0,0,91,0,47.5,66,11,75,72.2222222222222,30,100,62.4,53.55,78,59.5,44.3125,82.4074,100,66.12986,"C-"
0,50,42.5,80,100,83,71,75,50,12,66.6666666666667,61.1111111111111,55,35,14.4,39.6,18,44,68.9375,60.9259,100,54.420135,"D"
92.5,85,100,70,90,96,100,100,100,11,75,66.6666666666667,45,95,67.2,64.8,84,72,95.4375,78.8889,100,85.264585,"B"
92.5,100,100,100,100,0,90,100,100,11,91.6666666666667,61.1111111111111,65,80,78.4,75.6,98,84,97.8125,78.8889,100,91.777085,"A"
87.5,100,97.5,100,90,80,100,80,94,12,75,72.2222222222222,60,75,54.4,53.1,68,59,93.625,74.0741,100,77.548615,"C+"
65,100,90,90,100,99,86,72.5,75,12,100,88.8888888888889,80,95,71.2,72.9,89,81,89.0625,94.6296,100,88.96319,"A-"
92.5,100,100,100,95,100,86,100,80,12,95.8333333333333,72.2222222222222,60,100,62.4,74.25,78,82.5,96.6875,89.3519,100,88.634035,"A-"
82.5,100,95,100,0,100,92,100,100,12,58.3333333333333,100,65,80,68.8,63.9,86,71,96.1875,81.6667,100,86.056255,"B+"
0,75,67.5,90,80,71,0,50,0,8,83.3333333333333,61.1111111111111,25,35,64,44.55,80,49.5,54.1875,59.8148,40,57.60347,"D"
82.5,87.5,85,35,60,95,87,100,85,11,58.3333333333333,94.4444444444444,95,100,71.2,81,89,90,85.25,96.4815,100,90.347225,"A"
82.5,100,85,90,95,85,90,100,82.5,12,100,55.5555555555556,65,75,46.4,71.1,58,79,90.9375,80,100,80.63125,"B-"
72.5,100,100,100,100,80,76,85,98,12,91.6666666666667,72.2222222222222,70,100,74.4,80.1,93,89,92.375,87.963,100,91.75695,"A"
72.5,70,100,90,100,95,97,100,85,12,100,88.8888888888889,75,80,72,75.15,90,83.5,92.4375,89.6296,100,90.05069,"A"
0,0,0,10,0,0,53.5,70,32,9,33.3333333333333,0,55,45,32.8,56.7,41,63,20.6875,44.4444,60,42.82291,"F"
88.5,99,0,0,85,0,0,85,85,12,75,50,80,70,57.6,50.85,72,56.5,55.3125,75,100,66.36875,"C-"
95,95,100,100,95,99,100,100,100,12,91.6666666666667,88.8888888888889,65,100,65.6,81,82,90,98.625,93.5185,100,92.515275,"A"
72.5,92.5,100,90,95,89,83,95,100,12,91.6666666666667,22.2222222222222,60,75,60.8,57.15,76,63.5,93.0625,75.5556,100,80.32709,"B-"
100,85,100,100,100,99,97,85,95,12,100,100,100,100,80,89.1,100,99,97,100,100,98.85,"A+"
92.5,75,100,100,96.25,96,100,90,100,12,75,88.8888888888889,70,90,61.6,74.7,77,83,96.8438,84.6296,100,87.89758,"B+"
