"HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Lab","Overall","Grade"
87.5,62.5,80,70,100,96,92,100,70,12,58.3333333333333,66.6666666666667,60,75,58.4,54.9,73,61,86.9375,67.2222,100,76.01458,"C"
90,90,72.5,90,100,97,100,95,100,12,83.3333333333333,61.1111111111111,65,65,55.2,41.4,69,46,95.25,71.1111,100,74.541665,"C"
70,90,90,80,69.5,54,82,0,100,9,50,38.8888888888889,40,40,37.6,43.2,47,48,79.4375,43.3333,60,57.731245,"D"
95,85,90,50,56,86,92,75,55,12,87.5,77.7777777777778,45,75,42.4,27,53,30,79.25,80.0926,100,63.88889,"C-"
82.5,100,97.5,90,91.25,99,97,100,100,12,91.6666666666667,88.8888888888889,90,100,67.2,73.8,84,82,96.8438,93.8889,100,90.436475,"A"
95,100,100,90,95,99,97,80,100,12,100,94.4444444444444,90,95,70.4,83.25,88,92.5,97,96.4815,100,94.297225,"A"
100,100,97.5,100,100,95,100,100,60,12,95.8333333333333,61.1111111111111,75,70,55.2,69.3,69,77,99.0625,80.2778,100,84.81042,"B"
67.5,100,100,90,95,90,100,90,100,12,100,77.7777777777778,70,100,71.2,83.7,89,93,95.625,92.5926,100,93.62639,"A"
92.5,85,92.5,100,100,93,91,90,75,12,95.8333333333333,83.3333333333333,75,70,66.4,80.1,83,89,93,84.7222,100,89.45833,"A-"
80,85,92.5,0,95,66,80.5,67.5,100,12,66.6666666666667,88.8888888888889,85,80,49.6,62.55,62,69.5,83.3125,84.6296,100,77.46319,"C"
0,77.5,100,80,100,90,80,0,65,12,87.5,94.4444444444444,75,85,34.4,69.3,43,77,74.0625,88.9815,100,73.415975,"C"
92.5,95,85,100,100,99,89,100,100,12,91.6666666666667,100,75,100,67.2,70.2,84,78,96.9375,97.2222,100,89.96458,"A-"
90,95,100,100,100,99,100,80,85,12,100,100,75,100,71.2,76.5,89,85,96.125,100,100,92.8875,"A"
87.5,77.5,97.5,90,97,96,90,80,80,12,95.8333333333333,0,55,80,56,60.75,70,67.5,89.75,76.9444,100,79.34166,"C+"
92.5,100,100,100,95,99,94,99,95,12,75,100,85,95,70.4,77.4,88,86,97.75,93.3333,100,92.424995,"A"
95,98,92.5,70,95,98,100,100,98,12,100,77.7777777777778,50,90,68.8,70.2,86,78,97.0625,89.2593,100,89.207645,"A-"
82,100,91.5,100,100,90,100,70,96,12,50,77.7777777777778,60,95,55.2,63.9,69,71,94.9375,77.5926,100,81.67014,"B-"
82.5,100,85,75,95,86,26,45,65,12,33.3333333333333,55.5555555555556,50,85,36.8,36,46,40,79.1875,63.5185,100,62.484025,"C-"
90,95,100,100,100,96,100,95,100,12,66.6666666666667,94.4444444444444,75,90,44.8,63,56,70,98.25,86.4815,100,81.147225,"B-"
87.5,77.5,100,80,85,99,100,100,85,11,66.6666666666667,55.5555555555556,25,60,38.4,40.95,48,45.5,92.0625,60.7407,100,67.704855,"C-"
74,100,85,90,90,96,86,90,98,12,91.6666666666667,77.7777777777778,75,90,60.8,76.05,76,84.5,91.875,86.4815,100,86.859725,"B+"
80,60,95,80,85,91,68,80,67.5,12,41.6666666666667,61.1111111111111,55,80,36.8,45,46,50,80.8125,65.3704,100,65.74931,"C-"
91.5,97,87.5,80,90,82,90,90,98,12,58.3333333333333,72.2222222222222,55,75,51.2,39.15,64,43.5,90.75,68.5185,100,71.177775,"C"
80,95,90,80,97.5,94,73,90,85,12,58.3333333333333,66.6666666666667,57.5,100,64.8,64.35,81,71.5,88.9375,75,100,82.00625,"B"
92.5,95,100,100,95,98,70,100,100,12,91.6666666666667,61.1111111111111,60,90,66.4,73.35,83,81.5,97.5625,80.9259,100,88.382635,"A-"
92.5,100,100,90,100,93,89,80,60,12,83.3333333333333,77.7777777777778,55,80,65.6,63.9,82,71,93.0625,80.3704,100,84.12431,"B"
80,77.5,70,65,100,97,100,75,85,12,58.3333333333333,55.5555555555556,25,40,56.8,34.2,71,38,85.5625,51.2963,100,67.063195,"C-"
80,0,92.5,90,90,79,0,70,51.5,12,91.6666666666667,88.8888888888889,0,100,75.2,68.85,94,76.5,69.125,93.5185,100,82.690275,"B"
0,10,47.5,0,90,0,56,40,75,7,54.1666666666667,27.7777777777778,30,80,43.2,31.5,54,35,39.8125,54.7222,20,41.70208,"F"
85,85,92.5,60,95,98,100,80,100,12,91.6666666666667,50,75,95,47.2,57.6,59,64,91.9375,87.2222,100,78.46458,"C+"
70,89,70,80,85,96,0,90,0,11,75,44.4444444444444,65,0,64,54.9,80,61,72.5,61.4815,100,72.222225,"C"
85,97.5,100,85,75,97,97,95,85,12,25,44.4444444444444,35,65,48.8,36.45,61,40.5,92.6875,48.1481,100,67.353465,"C-"
94.5,100,85,100,100,98,90,100,96,12,75,61.1111111111111,80,80,78.4,72,98,80,97.3125,78.3333,100,90.543745,"A"
62.5,65,32.5,27.5,0,79,79,75,94,12,91.6666666666667,33.3333333333333,25,55,44,54.9,55,61,64.3125,60,100,64.54375,"C-"
85,70,85,95,100,88,88,100,85,12,75,100,90,100,47.2,65.7,59,73,90.75,96.6667,100,81.775005,"B-"
92.5,100,100,100,100,100,100,95,100,12,91.6666666666667,88.8888888888889,80,80,59.2,71.1,74,79,99.375,86.8519,100,87.390285,"B+"
92.5,100,100,100,95,90,100,95,85,12,100,88.8888888888889,80,80,76,74.25,95,82.5,96.5625,89.6296,100,92.03819,"A"
80,75,90,90,100,93,98,90,85,12,91.6666666666667,88.8888888888889,75,100,69.6,76.5,87,85,90.75,93.5185,100,89.902775,"A-"
92.5,82.5,87.5,90,100,82,82,0,85,9,50,44.4444444444444,0,25,45.6,52.2,57,58,87.6875,39.8148,60,64.17847,"C-"
76,80,100,95,90,93,89,87.5,80,12,100,66.6666666666667,70,85,55.2,66.6,69,74,89.3125,85,100,81.84375,"B-"
82.5,85,92.5,95,90,100,100,100,80,12,66.6666666666667,55.5555555555556,85,0,62.4,47.25,78,52.5,93.125,69.0741,100,77.023615,"C"
77.5,62.5,97.5,80,0,83,100,75,70,11,66.6666666666667,44.4444444444444,70,80,67.2,69.3,84,77,80.6875,72.2222,100,81.08958,"B-"
77.5,100,100,100,100,99,92,100,98,12,91.6666666666667,100,90,100,76,85.5,95,95,98.625,97.2222,100,96.92083,"A+"
87.5,85,92.5,80,100,99,0,100,75,12,100,100,60,100,75.2,70.2,94,78,89.875,100,100,90.2625,"A"
67.5,95,82.5,95,60,79,89,100,85,12,83.3333333333333,83.3333333333333,67.5,95,76.8,81.9,96,91,86.625,87.2222,100,91.02083,"A"
30,0,0,100,85,91,77,85,85,12,25,55.5555555555556,25,30,38.4,38.7,48,43,69.125,36.8519,100,56.615285,"D"
92.5,100,100,0,100,100,0,100,100,12,91.6666666666667,100,100,100,64,78.3,80,87,86.5625,100,100,88.71875,"A-"
82.5,0,95,100,95,99,100,100,100,9,75,72.2222222222222,80,95,70.4,75.6,88,84,96.4375,83.3333,60,86.031245,"B+"
77.5,97.5,100,70,0,96,100,80,75,12,66.6666666666667,11.1111111111111,45,75,48.8,49.5,61,55,87,62.2222,100,71.38333,"C"
80,75,0,67.5,77.5,87,100,82.5,90,11,83.3333333333333,83.3333333333333,90,90,57.6,72.9,72,81,82.4375,87.7778,100,82.54792,"B"
0,85,80,75,100,78,0,90,0,12,91.6666666666667,38.8888888888889,75,0,58.4,37.35,73,41.5,63.5,68.5185,100,64.302775,"C-"
87.5,85,92.5,85,95,91,92,90,90,12,91.6666666666667,50,0,85,64,65.7,80,73,90.375,75.5556,100,82.69584,"B"
73.5,0,92.5,90,80,0,100,100,75,12,83.3333333333333,72.2222222222222,65,95,70.4,65.7,88,73,76.375,83.5185,100,81.290275,"B-"
79,95,92.5,65,72.5,91,100,0,76,11,33.3333333333333,77.7777777777778,95,95,59.2,75.6,74,84,83.875,89.2593,100,84.351395,"B"
0,0,0,42.5,0,0,0,0,0,10,58.3333333333333,0,0,0,42.4,35.55,53,39.5,5.3125,19.4444,80,32.98541,"F"
100,97.5,100,90,100,99,100,100,100,12,100,77.7777777777778,90,95,69.6,84.6,87,94,99.5625,95,100,95.01875,"A+"
92.5,95,100,0,100,93,90,85,100,12,83.3333333333333,100,70,80,65.6,80.55,82,89.5,94.4375,87.7778,100,90.27292,"A"
